ID,Type,Area,X [m],Y [m],DepthRef [m],Z [m],Q/P [m^2/s],Koriginal [m/s],Krevised [m/s],LowerBoundFlag,,lnK
151009A,HPT09,Source,171.284,37.759,5.299481865,8.800518135,5.28E-06,6.33E-06,4.54E-06,0,,-5.342992551
151009A,HPT09,Source,171.284,37.759,5.314721122,8.785278878,4.87E-06,5.32E-06,4.06E-06,0,,-5.391308681
151009A,HPT09,Source,171.284,37.759,5.329960378,8.770039622,4.62E-06,4.75E-06,3.68E-06,0,,-5.433880832
151009A,HPT09,Source,171.284,37.759,5.345199634,8.754800366,4.58E-06,4.67E-06,3.41E-06,0,,-5.467196864
151009A,HPT09,Source,171.284,37.759,5.360438891,8.739561109,4.36E-06,4.18E-06,3.13E-06,0,,-5.504526646
151009A,HPT09,Source,171.284,37.759,5.375678147,8.724321853,4.00E-06,3.48E-06,2.88E-06,0,,-5.540226087
151009A,HPT09,Source,171.284,37.759,5.390917403,8.709082597,4.02E-06,3.51E-06,2.81E-06,0,,-5.550882805
151009A,HPT09,Source,171.284,37.759,5.40615666,8.69384334,4.18E-06,3.82E-06,2.86E-06,0,,-5.544055262
151009A,HPT09,Source,171.284,37.759,5.421395916,8.678604084,4.24E-06,3.95E-06,2.91E-06,0,,-5.535546998
151009A,HPT09,Source,171.284,37.759,5.436635172,8.663364828,4.27E-06,4.00E-06,2.96E-06,0,,-5.528482764
151009A,HPT09,Source,171.284,37.759,5.451874429,8.648125571,4.32E-06,4.11E-06,3.01E-06,0,,-5.522066932
151009A,HPT09,Source,171.284,37.759,5.467113685,8.632886315,4.23E-06,3.93E-06,3.02E-06,0,,-5.519275721
151009A,HPT09,Source,171.284,37.759,5.482352941,8.617647059,4.52E-06,4.52E-06,3.10E-06,0,,-5.508427479
151009A,HPT09,Source,171.284,37.759,5.497592198,8.602407802,4.20E-06,3.87E-06,3.05E-06,0,,-5.516218722
151009A,HPT09,Source,171.284,37.759,5.512831454,8.587168546,4.23E-06,3.93E-06,3.08E-06,0,,-5.510806545
151009A,HPT09,Source,171.284,37.759,5.52807071,8.57192929,4.43E-06,4.34E-06,3.21E-06,0,,-5.492880171
151009A,HPT09,Source,171.284,37.759,5.543309966,8.556690034,4.54E-06,4.56E-06,3.34E-06,0,,-5.476010002
151009A,HPT09,Source,171.284,37.759,5.558549223,8.541450777,4.57E-06,4.63E-06,3.45E-06,0,,-5.462564679
151009A,HPT09,Source,171.284,37.759,5.573788479,8.526211521,4.67E-06,4.85E-06,3.56E-06,0,,-5.449080704
151009A,HPT09,Source,171.284,37.759,5.589027735,8.510972265,4.63E-06,4.76E-06,3.64E-06,0,,-5.438854372
151009A,HPT09,Source,171.284,37.759,5.604266992,8.495733008,4.71E-06,4.94E-06,3.78E-06,0,,-5.422167475
151009A,HPT09,Source,171.284,37.759,5.619506248,8.480493752,4.81E-06,5.17E-06,3.99E-06,0,,-5.398901885
151009A,HPT09,Source,171.284,37.759,5.634745504,8.465254496,5.34E-06,6.47E-06,4.29E-06,0,,-5.367225315
151009A,HPT09,Source,171.284,37.759,5.649984761,8.450015239,5.09E-06,5.85E-06,4.34E-06,0,,-5.362320393
151009A,HPT09,Source,171.284,37.759,5.665224017,8.434775983,5.04E-06,5.72E-06,4.38E-06,0,,-5.358146823
151009A,HPT09,Source,171.284,37.759,5.680463273,8.419536727,5.27E-06,6.32E-06,4.50E-06,0,,-5.347217368
